locus	best_counts	all_counts	pri_counts	uni_counts	repenrich_counts	telescope	tetr_counts	real
HML2_11p15.4b	30	30	30	20	38	30	26	30
Others	308	17277	306	0	316	0	348	0
HML2_19p13.3	294	337	293	82	420	302	223	300
HML2_4q13.2	270	276	270	224	525	270	268	270
HML2_Xq12	240	241	240	152	460	240	240	240
HML2_11q12.3b	210	250	210	113	326	210	176	210
HML2_3q13.2	89	641	89	1	32	210	58	180
HML2_22q11.21	82	598	89	0	56	120	25	150
HML2_19q13.12a	120	211	120	36	164	120	66	120
HML2_1q23.3	89	400	89	9	90	88	39	90
HML2_15q25.2	60	60	60	15	90	60	14	60
HML2_Xq28a	17	31	14	0	12	30	23	30
Others	179	23893	176	0	159	0	464	0
HML2_4q32.3	299	354	298	156	508	300	258	300
HML2_6p21.1	270	308	270	201	486	270	261	270
HML2_8p23.1b	111	538	103	1	31	128	245	240
HML2_7q22.2	167	477	158	0	43	187	130	210
HML2_6q14.1	111	737	104	2	37	315	2	180
HML2_4p16.3a	150	153	150	142	272	150	147	150
HML2_6q11.1	119	130	119	89	207	119	114	120
HML2_19q13.41a	90	108	90	52	144	90	74	90
HML2_9q34.11	60	75	60	36	108	60	57	60
HML2_14q32.33	30	32	30	18	38	30	28	30
Others	243	21673	267	0	241	0	288	0
HML2_4p16.1a	296	310	297	65	378	300	298	300
HML2_7q34	267	277	266	211	480	268	249	270
HML2_19p12b	239	297	234	85	362	240	209	240
HML2_6q25.1	210	210	210	192	404	210	207	210
HML2_5q33.2	179	215	179	112	299	180	171	180
HML2_5q33.3	80	349	83	0	10	154	71	150
HML2_3q12.3	111	260	111	30	122	117	103	120
HML2_19p13.3	89	118	90	18	113	90	63	90
HML2_Xq28b	50	76	55	26	80	60	47	60
HML2_15q25.2	30	30	30	5	37	30	4	30
Others	99	15093	95	0	157	0	181	0
HML2_Yq11.23b	166	300	157	0	139	300	148	300
HML2_19p13.3	268	280	269	66	384	270	247	270
HML2_5p12	240	260	240	195	406	240	222	240
HML2_17p13.1	210	210	210	207	364	210	200	210
HML2_4q35.2	172	209	173	87	246	180	163	180
HML2_21q21.1	141	225	139	28	128	150	91	150
HML2_6p21.1	120	154	120	85	212	120	105	120
HML2_1p36.21a	73	99	71	5	56	90	89	90
HML2_19q13.12b	60	74	60	40	102	60	46	60
HML2_12p11.1	30	32	30	29	52	30	28	30
Others	170	13160	181	0	299	0	238	0
